file,sent_idx,char_idx,sentence,phrases,lem_phrases
1897-98a,11019,1528711,"Zu dem kommt die Betrachtung einer neuen „Reservearmee“ von Prole¬
tariern in der Gestalt der Eingeborenen, die vorläufig jedenfalls nichts von
modernen Klassenkämpfen wissen, um die widerspenstig werdenden Proletarier der
Kulturländer im Nothfall zu ersetzen.",Reservearmee,reservearmee
1897-98a,13768,1942947,"Jedenfalls können die ermittelten Daten als Maßstab dienen, um die
industrielle Reservearmee des Malergewerbes nach ihrer Größe und ihrem nume¬
rischen Verhältniß zur aktiven Arbeiterschaft zu berechnen.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1897-98a,13788,1945931,"Man kann hier die Wirkung der Reservearmee ziffermäßig
beobachten.",Reservearmee,reservearmee
1905-06a,7126,1060355,"Arbeiter, die durch Uberslutung des
Arbeitsmarktes mit der Reservearmee des Berufs außerstande gesetzt sind, der Kon¬
kiirrenz der Hände Schranken zu setzen, sind der Übermacht der Unternehmer in die¬
Hand gegeben.",Reservearmee,reservearmee
1905-06a,9498,1397656,"Diese Unglücklichen sind die wahre Reservearmee, zum
großen Teile auch die „Arbeitsunfähigen“ (unemployable)",Reservearmee,reservearmee
1905-06a,10712,1586058,"Das gefundene
Mißverhältnis zwischen Inhalt und Mitteln eines Kapitalismus setzen wir nund
einmal als vorhanden an, gleichsam als eine ursprüngliche Akkumulation von,
allerdings durch die Verhältnisse erklärlichen Irrtümern und Mißgriffen der
österreichischen Wirtschaftspolitik.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1905-06a,15763,2308580,"Es entsteht daher eine industrielle
Reservearmee.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1905-06a,15774,2310018,"Aber darauf kommt,
es gar nicht an; denn das Gesetz des Wertes der Arbeitskraft ist nur ein
anderer Ausdruck für die Tatsache, daß in der kapitalistischen Produktionsweise
dieselbe Entwicklung, die die Ergiebigkeit menschlicher Arbeit steigert, auch immer
eine industrielle Reservearmee erzeugt, daß daher die Steigerung der Ergiebig¬
keit der Arbeit nicht zur volleren Bedürfnisbefriedigung der Arbeiterklasse,
sondern zur Steigerung der Mehrwertrate führt.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1905-06a,15825,2318906,"Die höhere
Qualtfikation der Arbeit erzeugt also keine lohndrückende Reservearmee;",Reservearmee,reservearmee
1905-06a,15836,2320165,"Aber darum entsteht doch keine lohn¬
drückende Reservearmee.",Reservearmee,reservearmee
1905-06a,21025,3017844,"Wenn auch in der kapitalistischen Gesellschaftsordnung, in der der Hauptteil der
Bevölkerung ausschließlich auf Arbeitslohn angewiesen ist, und zu deren notwendigene,
Begleiterscheinungen eine ständig fluktuierende industrielle Reservearmee gehört, die
Wohnungsfrage nie und nimmer gelöst werden kann, so muß doch zugegeben
werden, daß manche Wohnungsfragen auf dem Boden der jetzigen Gesellschafts¬
ordnung gelöst oder doch ihrer Lösung näher gebracht werden können.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
