alignment_index,id2,series2,begin2,end2,s2_no_gaps,id,series,begin,end,s1_no_gaps,matches
49,page_609,mega,1703,1971," wächst die Masse des Elends, des Drucks, der Knechtung, der Degradation, der Aus‐ beutung, aber auch die Empörung der stets anschwellenden und durch den Mechanismus des kapitalistischen Produktionsprozesses selbst geschulten, vereinten und organisirten Arbeiterklasse",1898-99b-2,dnz,782720,782980," mit der Masse des¬ Elends, des Drucks, der Knechtung, der Degradation, der Ausbeutung, auch die ntipörung der stets anschwellenden und durch den Mechanismus des kapitalistischen Produktionsprozesses selbst geschulten, vereinten und organisirten Arbeiterklasse",252
50,page_409,mega,514,1314,"n Landes seit den letzten zwanzig Jahren sehr ausgedehnt, während die Landbevölkerung in derselben Periode nicht nur relativ, sondern absolut abnahm. In den Vereinigten Staaten von Nordamerika ersetzen Agrikultur‐ Maschinen einstweilen nur virtuell Arbeiter, d. h. sie erlauben dem Pro‐ ducenten Bebauung einer größeren Fläche, verjagen aber nicht wirklich beschäftigte Arbeiter. In England und Wales betrug 1861 die Zahl der in der Fabrikation von Ackerbau‐Maschinen betheiligten Personen 1034, während die Zahl der an Dampf‐ und Arbeitsmaschinen beschäftigten Agrikultur‐ arbeiter nur 1205 betrug. In der Sphäre der Agrikultur wirkt die große Industrie in sofern am re‐volutionärsten, als sie das Bollwerk der alten Gesellschaft vernich‐ tet, den ""Bauer"", und ihm den Lohnarbeiter unterschiebt. Die",1902-03b,dnz,1716317,1717131,"den Getreidemassen Amerikas so sehr viel mehr Arbeit der Landbebauer, als in den Baumwollstoffen von Lancashire? Wir vermögen nur den Unter¬ schied zu erkennien, daß bei den ersteren die industrielle Arbeit den Gesamt¬ produktionsprozeß eröffnet, bei den letzteren aber beschließt. In beiden Fällen¬ sind die Haupterzeuger die Arbeiter der großen Industrie. Und noch eins! Die Marxsche Prognose, wonach die technische Revolution. die agrikole Produktion zu einem Zweige der großen Industrie umgestalten soll, hat jenseits des Ozeans die glänzendste Bestätigung gefunden. Ist es für Amerika nicht buchstäblich wahr, daß ""in der Sphäre der Agrikultur die große Industrie insofern am revolutionärsten wirkt, als sie das Bollwerk der alten Gesellschaft vernichtet, den Bauer', und ihm den Lohnarbeiter unterschiebt. De",236
51,page_636,mega,917,2461,"ichsetzung kann nur etwas der wahren Natur der Dinge Fremdes sein, also nur ""Nothbehelf für das praktische Bedürfniß."" Aristoteles sagt uns also selbst, woran seine weitere Analyse scheitert,nämlich am Mangel des Werthbegriffs. Was ist das Gleiche, d. h. die ge‐ meinschaftliche Substanz, die das Haus für den Polster im Werthausdruck des Polsters vorstellt? So etwas kann ""in Wahrheit nicht existiren"", sagt Aristoteles. Warum? Das Haus stellt dem Polster gegenüber ein Gleiches vor, soweit es das in Beiden, dem Polster und dem Haus, wirklich Gleiche vor‐ stellt. Und das ist ‒ menschliche Arbeit. Daß aber in der Form der Waarenwerthe alle Arbeiten als gleichemenschliche Arbeit und daher als gleichgeltend ausgedrückt sind, konnte Aristoteles nicht aus der Werthform der Waaren herauslesen, weil die griechische Gesellschaft auf der Sklavenarbeit beruhte, daher die Ungleich‐ heit der Menschen und ihrer Arbeiten zur Naturbasis hatte. Das Geheimniß des Werthausdrucks, die Gleichheit und gleiche Gültigkeit aller Arbeiten, weil und insofern sie menschliche Arbeit überhaupt sind, kann nur entziffert werden, sobald der Begriff der menschlichen Gleichheit bereits die Festigkeit eines Volksvorurtheils besitzt. Das ist aber erst möglich in einer Gesellschaft, worin die Waarenform die allgemeine Form des Arbeitsprodukts ist, also auch das Verhältniß der Menschen zu einander als Waarenbesitzer das herrschende gesellschaftliche Verhältniß ist. Das Genie des Aristoteles glänzt grade darin, daß er im Werthausdruck der Waaren ein Gleichheits",1902-03b,dnz,2771805,2773340,"n¬ kasten geführt hat usw. 2. Zeigt sich hier schon, daß Herr Woltmann nicht begrifflich zu unterscheiden, vermag, so noch weit mehr beim nächsten Ittat über die Sklavenarbeit im alten Griechenland. Der Marxsche Ausdruck ""Naturbasis"" scheint Herrn Woltmann zu der Annahme verleitet zu haben, Marx spreche hier von einer physiologischen Ungleichheit der Menschen und der Arbeitskräfte. Tatfächlich meint Marx dies le foziale Ungletchheit. Das ergibt sich sofort, wenn man dem obigen Zitat dis e voraufgehenden und nachfolgenden Sätze, die sich auf den Wertbegriff des Aristoteles, beziehen, hinzufügt (4. Aufl., S. 26): ""Daß aber in der Form der Warenwerte alle Arbeiten als gleiche menschliche Arbeit und daher als gleichgeltend ausgedrückt sind, konnte Aristoteles nicht aus der Wertform selbst herauslesen, weil die griechische Gesellschaft auf der Sklavenarbeit¬ beruhte, daher die Ungleichheit der Menschen und ihrer Arbeitskräfte zur Naturbasis¬ hatte. Das Geheimnis des Wertausdrucks, die Gleichheit und gleiche Gültigkeit aller Arbeiten, weil und insofern sie menschliche Arbeit überhaupt sind, können nur ent¬ ziffert werden, sobald der Begriff der menschlichen Gleichheit bereits die Festigkeit eines Volksurteils besitzt. Das ist aber erst möglich in einer Gesellschaft, worin die Warenform die allgemeine Form des Arbeitsproduktes, also auch das Verhältnis der Menschen zueinander als Warenbesitzer das herrschende gesell¬ schaftliche Verhältnis ist."" Marx spricht hier selbst von der Ungleichheit beziehungsweise Gleichheit",886
52,page_182,mega,301,401,"einem durch die kapitalistische Produktionsweise beherrschten Weltmarkt stehn, der den Verkauf ihrer",1898-99b-2,dnz,2829829,2830246,"e, durch die kapitalistische zu ersetzen, die aber in Anbetracht der gegenwärtigen Weltkrisis des Ackerbaues immer größeres, Kapital, weitergehende technische Kenntnisse erfordert und daher für die in Schulden verstrickten Adeligen immer schwieriger wird. Der Regierung werden die Bitten der Adeligen immer lästiger; sie fängt an darauf hinzudeuten, daß ihre einzige Hilfe in einer Erleichterung für den Verkauf ihrer",49
53,page_012,mega,2521,2709,"den Naturgesetzen der kapitalistischen Produktion entspringen. Es handelt sich um diese Gesetze selbst, um diese mit eherner Nothwendigkeit wirkenden und sich durchsetzenden Tendenzen. Das",1898-99b-2,dnz,23013,23706,"den ""Naturgesetzen der kapitalistischen Produktion"" aber meint Bernstein, er fügt gleich selbst hinzu: ""Es handelt sich um diese mit eherner Nothwendigkeit wirkenden und sich setzenden Tendenzen."" An dieses Wort ""Tendenz"" klammert sich Bern¬ stein an: ""Wo eben noch von Gesetz gesprochen wird"", sagt er, ""drängt sich statt dieses starren ein biegsamerer Begriff ein: die Tendenz. Und auf dem nächsten Blatte steht dann der oft zitirte Satz, daß die Gesellschaft die Geburts¬ wehen naturgemäßer Entwicklungsphasen abkürzen und mildern' kann. Die Tendenz erscheint also Bernstein biegsamer als das Gesetz, selbst wenn es eine mit eherner Nothwendigkeit wirkende und sich durchsetzende Tendenz is",130
54,page_012,mega,1514,1863," die etwas Neues lernen, also auch selbst denken wollen. Der Physiker beobachtet Naturprozesse entweder dort, wo sie in derprägnantesten Form und von störenden Einflüssen mindest getrübt er‐ scheinen, oder, wo möglich, macht er Experimente unter Bedingungen, welche den reinen Vorgang des Prozesses sichern. Was ich in diesem Werk zu erforschen habe",1902-03b,dnz,1264827,1265138," deren Dies kann aber nur erreicht werden, wenn man die Erscheinungen untersucht, ""wo sie in der prägnantesten Form und von störenden Einflüssen am wenigsten getrübt erscheinen, oder wombglich Experimente macht unter Bedingungen, welche den reinen Vorgang des Prozesses sichern""."" Da aber die wirtschaftlichen E",240
55,page_012,mega,853,1051,"Bei der Analyse der ökonomischen Formen kann außerdem weder das Mikro‐ skop dienen, noch chemische Reagentien. Die Abstraktionskraft muß beide ersetzen. Für die bürgerliche Gesellschaft ist aber die",1902-03b,dnz,1265409,1265575,"Bei Analyse der ökonomischen Formen kann, weder das Mikroskop dienen noch chemische Reagentien. Die Abstraktionskraft muß beide ersetzen."" Daher stellt sich öfter die",152
56,page_344,mega,985,1305,"andrerseits als ""einen ungeheuren Automaten, zusammengesetzt aus zahllosen mechanischen und selbst‐ bewußten Organen, die im Einverständniß und ohne Unterbrechung wirken, um einen und denselben Gegenstand zu produciren, so daß alle diese Organe einer Bewegungskraft untergeordnet sind, die sich von selbst bewegt"". Diese",1902-03b,dnz,372778,373086,"abrik als einen ""ungeheuren Automaten, zufammen¬ gesetzt aus verschiedenen mechanischen und verstandesbegabten Organen, die in Un¬ unterbrochenem Einverständnis wirken, um einen und denselben Gegenstand zu produ¬ zieren; alle diese Organe sind einer Bewegungskraft untergeordnet, die sich selbst¬ regelt"" Die",162
57,page_417,mega,252,927,"n absolut und relativKapitalverhält‐ niß entspringt übrigens auf einem ökonomischen Boden, der das Pro‐ dukt einer langen Reihe früherer Entwicklungsphasen ist. Die vorhandne Produktivität der Arbeit, wovon es als Grundlage ausgeht, ist nicht Gabe der Natur, sondern der Geschichte. Von der mehr oder minder entwickelten Gestalt des gesellschaftlichenProduktionsprozesses abgesehn, bleibt die Produktivität der Arbeit an Naturbedingungen gebunden, und wechselt der Grad ihrer Produktivität mit dem Reichthum dieser Naturbedingungen. Sie sind alle rückführbar auf die Natur des Menschen selbst und die ihn umgebende Natur. Der größere oder geringere Reichthum der menschlichen",1902-03b,dnz,2761846,2762460,"enzbedingungen aller Arten mehr oder minder erhält"" (S. 358). Herr Cunow schreibt, daß ""neuerdings das Argumentieren mit Rassetheorien Mode geworden"" sei. Er weiß aber nicht, daß auch Marx dieser Mode huldigte und im Prinzip in der Rasse einen dem Milieu gleichwertigen historischen Faktor anerkannte: ""Von der mehr oder minder entwickelten Gestalt der gesellschaftlichen Produktion abgesehen, bleibt die Produktivität der Arbeit an Naturbedingungen, gebunden. Sie sind alle zurückführbar auf die Natur des Menschen selbst, wie Rasse usw. und die ihn umgebende Natur"" (S. 524). Und Fr. Engels schrie be. in gleiche",276
58,page_417,mega,0,265,"ist in jenen Anfängen die Proportion der Gesellschaftstheile, die von fremder Arbeit leben, verschwindend klein gegen die Masse der unmittelbaren Pro‐ ducenten. Mit dem Fortschritt der gesellschaftlichen Produktivkraft der Arbeit wächst diese Proportion absolut und",1902-03b,dnz,2778684,2778951,"ibt immer noch ""die Pro¬ portion der Gesellschaftsteile, die von fremder Arbeit leben, verschwindend klein gegen die Masse der unmittelbaren Produzenten"". ""Mit dem Fortschritt der gesell¬ schaftlichen Produktivkraft der Arbeit"" wächst jedoch diese Proportion mehr und",239
59,page_335,mega,584,1514,"fe von selbst webten, so bedürfte es weder für den Werkmeister der Gehilfen, noch für die Herrn der Sklaven""Antipatros, ein griechischer Dichter aus der Zeit des Cicero, begrüßte die Erfindung der Wassermühle zum Mahlen des Getreides, diese Elementarform aller pro‐ duktiven Maschinerie, als Befreierin der Sklavinnen und Herstellerin des goldnen Zeitalters!gescheidte Bastiat entdeckt hat, und schon vor ihm der noch klügere Mac Culloch, nichts von politischer Oekonomie und Christenthum. Sie begriffen u. a. nicht, daß die Maschine das probateste Mittel zur Verlänge‐ rung des Arbeitstags ist. Sie entschuldigten etwa die Sklaverei des Einen als Mittel zur vollen menschlichen Entwicklung des Andern. Aber Sklaverei der Massen predigen, um einige rohe oder halbgebildete Parvenüs zu ""eminent spinners"", ""extensive sausage makers"" und ""influential shoe black dealers"" zu machen, dazu fehlte ihnen das specifisch christliche Organ",1898-99b-2,dnz,278176,279133,"cht gleichbedeutend ist mit der der Landwirthe) bereits¬ längst überflüssig geworden. Die drei großen Klassen der modernen Gesellschaft sind die Lohnarbeiter, Kapitalisten, Grundeigenthümer. Man kann sehr wohl die Klassenunterschiede unter ihnen aufheben durch Aufhebung des Privateigenthums an den Produktionsmitteln, ohne die Kultur im Geringsten zu schädigen. Marx¬ spottete bereits in seinem ""Kapital"" über die Bastiat und Mac Culloch, die ent¬ K. Kautsky: Bernstein über die Werththeorie und die Klassen. deckt hatten, daß die Heiden nichts von politischer Oekonomie und Christenthum¬ verständen. ""Sie (die Heiden) entschuldigten etwa die Sklaverei der Einen als Mittel zur vollen menschlichen Entwicklung der Anderen. Aber Sklaverei der Massen predigen, um einige rohe oder halbgebildete Parvenüs zu ""hervorragenden Spinnern' großen Wurstfabrikanten' und einflußreichen Schuhwichshändlern' zu machen, dazu fehlte ihnen das spezifisch christliche Organ",294
60,page_275,mega,2213,2544,"Andrerseits entspricht ihre Verwandlung der Theilarbeit in den Lebensberuf eines Menschen dem Trieb früherer Gesellschaften, die Gewerbe erblich zu machen, sie in Kasten zu versteinern, oder, wo bestimmte historische Bedingungen dem Kastenwesen widersprechende Variabilität des Individuums erzeugen, die Arbeitssonde‐ 27) ""The more",1902-03b,dnz,2768934,2769284,"Andererseits entspricht ihre Verwandlung der Teilarbeit in den Lebensberuf eines Menschen dem Triebe früherer Gesellschaften, die Gewerbe erblich zu machen, sie in Kasten zu versteinern oder in Zünften zu verknöchern, falls bestimmte historische Bedingungen dem Kastenwesen widersprechende Variabilität des Individuums er¬ zeugen. Kaflen und Zünfte e",296
61,page_278,mega,220,614, Dieser Doppelcharakter entspringt aus der Natur des Machwerks selbst. Es wird entweder gebildet durch bloß mechanische Zusammenset‐ zung selbstständiger Theilprodukte oder verdankt seine fertige Gestalt einer Reihenfolge zusammenhängender Prozesse und Manipulationen. Eine Lokomotive z. B. besteht aus mehr als 5000 selbstständigen Theilen.Sie kann jedoch nicht als Beispiel der ersten Art der,1902-03b,dnz,1649789,1650070, der Produktionsprozeß in der Manufaktur entweder durch bloß mechanische Zusammensetzung selbständiger Teilprodukte oder durch eine Reihe zusammenhängender Prozesse und Manipulationen vollzogen. Die Produktion nach der ersten Methode besteht demnach erstens aus der Herstellung der,205
62,page_461,mega,1637,2059," Andrerseits kommt der Arbeiter beständig aus dem Prozeß heraus, wie er in ihn eintritt. Da seine eigne Arbeit ihm selbst entfremdet, dem Kapitalisten angeeignet und dem Kapital einverleibt ist, bevor er in den Prozeß eintritt, vergegenständlicht sie sich während des Prozesses beständig in fremdem Produkt. Da der Pro‐ duktionsprozeß zugleich der konsumtionsprozeß der Arbeitskraft durch den Kapitalisten, verwandelt sich",1898-99b-2,dnz,264219,264524," als¬ rseits den Gegensatz zwischen dem Prole¬ die es einigenden, so versucht er andert tarier und dem Kapitalisten möglichst zu verkleinern. Die Marrsche Lehre vom Werth, sagt er, ""ist darin irreführend, daß er doch immer wieder als Maß¬ stab für die Ausbeutung des Arbeiters durch den Kapitalisten ersch",166
63,page_416,mega,1857,2526," sondern auch für den andern arbeitet So kann von einer Naturbasis des Mehrwerths gesprochen werden, abernur in dem ganz allgemeinen Sinn, daß kein absolutes Naturhinderniß den einen abhält die zu seiner eignen Existenz nöthige Arbeit von sich selbst ab‐ und einem andern aufzuwälzen. Es sind durchaus nicht, wie es hier und da geschehn, mystische Vorstellungen mit dieser naturwüchsigen Produktivität der Arbeit zu verbinden. Nur sobald die Menschen sich aus ihren ersten Thierzuständen herausgearbeitet, ihre Arbeit selbst also schon in gewissem Grad vergesellschaftet ist, treten Verhältnisse ein, worin die Mehrarbeit des einen zur Existenzbedingung des andern wird",1902-03b,dnz,2763294,2763856," seiner Existenz nötige Arbeit von sich selbst ab‐ und einem anderen aufzuwälzen, zum Bei¬ spiel ebensowenig wie absolute Naturhindernisse die einen abhalten, das Fleisch der anderen als Nahrung zu verwenden."" Indeß gibt Marx nicht nur eine negative Definition dieser ""Naturbasis des Mehrivertes"" sondern fährt fort: ""Nur sobald die Menschen sich aus ihren ersten Tierzuständen herausgearbeitet, ihre Arbeit selbst also¬ schon in gewissem Grade vergesellschaftet ist, treten Verhältnisse ein, worin die Mehrarbeit des einen zur Existenzbedingung des anderen wird",265
64,page_397,mega,1562,1835," ""Um sie zu ihrem Werk zu befähigen, ist keine intellektuelle Ziehung irgend einer Art nöthig; sie haben wenig Gelegenheit für Geschick und noch weniger für Urtheil; ihr Lohn, obgleich gewissermaßen hoch für Jungen, wächst nicht verhältnißmäßig, wie sie selbst heranwachsen",1902-03b,dnz,66472,66891," ""Um sie zu ihrem Werke zu befähigen, ist keine intellektuelle Erziehung irgendeiner Art nötig; sie haben, wenig Gelegenheit für Geschick und noch weniger für Urteil; ihr Lohn ... wächst¬ Konrad Agahd, ""Kinderarbeit und Gesetz gegen Ausnutzung kindlicher Arbeitskraft in Deutschland"" (Jena 1902), S. 85/86. Max Bach: Beiträge zu einer Geschichte der Internationale. 21 nicht verhältnismäßig, wie sie selbst heranwachsen",187
65,page_025,mega,560,1354,"worin verschiedne Arbeitsarten auf einfache Arbeit als ihre Maßeinheit reducirt sind, werden durch einen gesellschaftlichen Prozeß hinter dem Rücken der Produzenten festgesetzt und scheinen ihnen daher durch das Herkommen gegeben. Der Vereinfachung halber gilt uns im Folgenden jede Art Arbeits‐ kraft unmittelbar für einfache Arbeitskraft, wodurch nur die Mühe der Reduktion erspart wird. Wie also in den Werthen Rock und Leinwand von dem Unterschied ihrer Gebrauchswerthe abstrahirt ist, so in der Arbeit, die diese Werthe darstellen, von dem Unterschied der nützlichen Formen, worin sie das einemal Schneiderarbeit ist, das andremal Weberei. Wie die Gebrauchswerthe Rock und Leinwand Verbindungen zweckbestimmter, produktiver Thätigkeiten mit Tuch und Garn sind, die Werthe Rock und Leinwand",1899-00a,dnz,1292610,1293248,"worin verschiedene Arbeitsarten auf einfache Arbeit als ihre Maßeinheit reduzirt sind, werden durch einen gesellschaftlichen Prozeß hinter dem Rücken der Produzenten festgesetzt und scheinen ihnen daher durch das Herkommen gegeben"" (""Kapital"", I. 2. Auflage, S. 19). Die Thatsache selbst wird Niemand bestreiten, aber der bloße Hinweis auf sie läßt doch zu viel unbeautwortet, um als erschöpfende Begründung des Fundaments der Werthlehre gelten zu können. Welches sind die Normen, nach denen sich jener gesellschaftliche Prozeß vollzieht? Nehmen wir die beiden Waaren, von denen Marx in dem betreffenden Kapitel spricht: Rock und Leinwand",403
66,page_147,mega,0,501,"werth hat als die einfache Arbeitskraft. Ist der Werth dieser Kraft höher, so äußert sie sich aber auch in höherer Arbeit und vergegenständlicht sich daher, in denselben Zeiträumen, in verhältnißmäßig höheren Werthen. Welches jedoch immer der Gradunterschied zwischen Spinnarbeit und Juwelierarbeit, die Portion Arbeit, wodurch der Juwelenarbeiter nur den Werth seiner eignen Arbeitskraft ersetzt, unterscheidet sich qualitativ in keiner Weise von der zusätzlichen Portion Arbeit, wodurch er Mehrwerth",1899-00a,dnz,1296233,1296680,"st an einer wichtigen Stelle (Kapitel 5 des ersten Bandes): ""Ist der Werth dieser Kraft (der Arbeitskraft) höher, so äußert sie sich aber auch in höherer Arbeit und vergegenständlicht sich daher () in den¬ selben Zeiträumen in verhältnißmäßig höheren Werthen"" (""Arbeitsprozeß und Verwerthungsprozeß"" Band 1, 2. Auflage, S. 186). Hier erscheint der Werth¬ der Arbeitskraft, der sich im Arbeitslohn vergegenständlicht, als entscheidend für den Werth",267
67,page_022,mega,1273,1511,"in Bezug auf den Nutzeffekt, dessen Hervorbringung sie bezweckt. Wie Rock und Leinwand qualitativ verschiedne Gebrauchswerthe, so sinddie ihr Dasein vermittelnden Arbeiten qualitativ verschieden ‒ Schneider‐ arbeit und Weberei. Wären jene",1899-00a,dnz,1293187,1293334,"n Marx in dem betreffenden Kapitel spricht: Rock und Leinwand. In dem Rocke steckt (vom Rohstoff ab¬ gesehen) Schneiderarbeit, in der Leinwand Webe",88
68,page_607,mega,617,1548," 132. Während sie die Kindersklaverei in England einführte, gab die Baum‐wollindustrie zugleich den Anstoß zur Verwandlung der früher mehr oder minder patriarchalischen Sklavenwirthschaft der Vereinigten Staaten in ein commercielles Exploitationssystem. Ueberhaupt bedurfte die verhüllte Sklaverei der Lohnarbeiter in Europa zum Piedestal die Sklaverei sans phrase in der neuen Welt Tantae molis erat, die ""ewigen Naturgesetze"" der kapitalistischen Pro‐duktionsweise zu entbinden, den Scheidungsprozeß zwischen Arbeitern und Arbeitsbedingungen zu vollziehn, auf dem einen Pol die gesellschaftlichen Produktions‐ und Lebensmittel in Kapital zu verwandeln, auf dem Gegenpol die Volksmasse in Lohnarbeiter, in freie ""arbeitende Arme"", dieß Kunst‐ produkt der modernen Geschichte das Geld, nach Augier, ""mit natürlichen Blutflecken auf einer Backe zur Welt kömmt""das Kapital von Kopf bis Zeh, aus allen Poren, blut‐ und schmutztriefend",1901-02a,dnz,1273063,1273717," ... Während sie die Kindersklaveret in England einführte, gab die Baumwollindustrie zugleich den Anstoß zur Verwandlung der früher mehr oder minder patriarchalischen Sklavenwirthschaft der Vereinigten Staaten in ein kommer¬ zielles Ausbeutungssystem. Ueberhaupt bedurfte die verhüllte Sklaverei der Lohn¬ arbeiter in Europa zum Piedestal der Sklaverei sans phrase in der neuen Welt. ""Tantae molis erat, die ewigen Naturgesetze' der kapitalistischen Produktions¬ weise zu entbinden.... Wenn das Geld, nach Augier, mit natürlichen Blutflecken, auf einer Backe zur Welt kommt, so das Kapital vom Kopfe bis zur Zehe aus allen Poren blut‐ und schmutztriefend",567
69,page_574,mega,964,1345,in dieser Welt ihrenMißstand. Mit der Accumulation der Grundrente in Irland hält Schritt die Accumulation der Irländer in Amerika. Der durch Schaf und Ochs beseitigte Ire ersteht auf der andern Seite des Oceans als Fenian. Und gegenüber der alten Seekönigin erhebt sich drohend und drohender die junge Riesen‐ republik. Acerba fata Romanos agunt Scelusque fraternae necis. 2) Die s,1901-02a,dnz,2186777,2187136,"inigten Staaten aus. ""Mit der Akkumulation der Grund¬ rente in Irland hält Schritt die Akkumulation der Irländer in Amerika. Der durch Schaf und Ochse besettigte Ire ersteht auf der anderen Seite des Ozeans¬ als Farmer. Und gegenüber der alten Seekönigin erhebt sich drohend und drohender die junge Riesenrepublik"" (Marx). In der Literatur der Fenier finden s",306
70,page_604,mega,2080,2712," Das Protektionssystem war ein Kunstmittel Fabrikanten zu fabriciren,unabhängige Arbeiter zu expropriiren, die nationalen Produktions‐ und Lebensmittel zu kapitalisiren, den Uebergang aus der alterthümlichen in die moderne Produktionsweise gewaltsam abzukürzen. Die europäischen Staa‐ ten rissen sich um das Patent dieser Erfindung, und einmal in den Dienst der Plusmacher eingetreten, brandschatzten sie zu jenem Behuf nicht nur das eigne Volk, indirekt durch Schutzzölle, direkt durch Exportprämien u. s. w. In den abhängigen Nebenlanden wurde alle Industrie gewaltsam ausgerodet, wie z. B. die irische Wollmanufaktur von England.",1901-02a,dnz,1272129,1272773," Das Protektionssystem. war ein Kunstmittel, Fabrikanten zu fabriziren, unabhängige Arbeiter zu expropriiren, die nationalen Produkttons‐ und Lebensmittel zu kapitalistren, den Uebergang aus, der alterthümlichen in die moderne Produktionsweise gewaltsam abzukürzen. Die europäischen Staaten rissen sich um das Patent dieser Erfindung, und eiumal in den Dienst der Plusmacher eingetreten, brandschatzten sie zu jenem Behufe nicht nur das eigene Volk, indirekt durch Schutzzölle, direkt durch Exportprämien u. s. w. In¬ den abhängigen Nebenlanden wurde alle Industrie gewaltsam ausgerodet, wie zum Beispiel die irische Wollmanufaktur von England.",624
71,page_265,mega,364,552,"der Zusammen‐ arbeitenden die verschiedenen Operationen unter verschiedne Hände zu vertheilen, daher gleichzeitig zu verrichten, und dadurch die zur Herstellung des Gesammtprodukts nöthige",1899-00a,dnz,1119551,1119854,"der Ein¬ heit erforderlichen Operationen). Unter einer derartigen Einheit wird eine bestiiumte Menge einer bestimmten Waarenart verstanden, die von einer Industrie hergeftellt wird, z. B. in der Snckindustrie je fünfhundert Mehl‐, Kaffee‐, Salzsäcke &c. Die zur Herstellung der ""Waaren¬ einheit"" uöthige",66
72,page_021,mega,1786,2102," Umgekehrt, je kleiner die Produktivkraft der Arbeit, desto größer die zur Herstellung eines Artikels nothwendige Arbeits‐ zeit, desto größer sein Werth. Die Werthgröße einer Waare wechselt also direkt wie das Quantum und umgekehrt wie die Produktivkraft der sich in ihr verwirklichenden Arbeit. Wir kennen jetzt die",1899-00a,dnz,1446825,1447106," minder set in dieser Hinsicht auch der Ausdruck ""gesellschaftlich nothwendige Arbeitszeit"" ""nichtig und bedeutungslos"" (S. 160). Weiter, wenn Marx sage, die Werth¬ größe der Waaren verhalte sich umgekehrt wie die Produktivkraft der in ihnen verwirklichten Arbeit, und unter den Be",118
73,page_012,mega,1999,2444,"bis jetzt England. Dieß der Grund, warum es zur Hauptillustration meiner theoretischen Entwicklung dient. Sollte jedoch der deutsche Leser pharisäisch die Achseln zucken über die Zustände der englischen Industrie‐ und Ackerbauarbeiter, oder sich optimistisch dabei beruhigen, daß in Deutschland die Sachen noch lange nicht so schlimm stehn, so muß ich ihm zurufen: De te fabula narratur! An und für sich handelt es sich nicht um den höheren oder",1899-00a,dnz,2717066,2717403,"ischen England und Deutschland in Bezug auf Arbeiterzustände gilt auch hier: ""Sollte der deutsche Leser pharifäisch die Achsel¬ zucken ... oder sich optimistisch dabei beruhigen, daß in Deutschland die Sachen¬ noch lange nicht so schlimm stehen, so muß ich ihm zurufen: De te kabula, UIAITALUF es ist deine eigene Geschichte, die hier er",260
74,page_018,mega,1223,1394,"Der Tauschwerth erscheint zunächst als das quantitative Verhältniß, die Proportion, worin sich Gebrauchswerthe einer Art gegen Gebrauchs‐ werthe anderer Art austauschenOrt",1899-00a,dnz,1449065,1449221,"er abstrakt mensch¬ licher Arbeit und Tauschwerth als einer Proportion, worin sich Gebrauchs¬ werthe einer Art gegen Gebrauchswerthe anderer Art austauschen",120
75,page_051,mega,784,1065,"Gebrauchswerth undTauschwerth, also zweier Entgegengesetzten. Sie ist daher ein unmittelbarer Widerspruch. Dieser Widerspruch muß sich entwickeln, sobald sie nicht wie bisher analytisch bald unter dem Gesichtspunkt des Gebrauchswerths, bald unter dem Gesichtspunkt des Tauschwerths",1899-00a,dnz,1449089,1449467,"er Arbeit und Tauschwerth als einer Proportion, worin sich Gebrauchs¬ werthe einer Art gegen Gebrauchswerthe anderer Art austauschen (S. 169). Dadurch, daß Marx diese Begriffe an verschiedenen Stellen nicht streng getug, scheide, habe er ""einen schier unglaublichen Wirrwarr"" angerichtet. Der Ver¬ fasser selbst erklärt, wie schon bemerkt, überhaupt den Begriff des Tauschwerths",47
76,page_601,mega,1248,1709,"Diese Methoden der ursprünglichen Accumulation vertheilen sich mehroder minder, in zeitlicher Reihenfolge, namentlich auf Spanien, Portugal, Holland, Frankreich und England. In England werden sie Ende des 17. Jahrh. systematisch zusammengefaßt im Kolonialsystem, Staatsschuldensystem, modernen Steuersystem und Protektionssystem. Diese Methoden beruhn zum Theil auf brutalster Gewalt, wie das Kolonialsystem. Alle aber benutzen die Staatsmacht, die koncentrirte",1901-02a,dnz,1271778,1272171,"denen Methoden der ursprünglichen Akkumulation"", sagt er im Jahr¬ Kapital"" (I, 3. Aufl., S. 777) ""werden in England Ende des siebzehnten hunderts systematisch zusammengefaßt im Kolonialfystem, Staatsschuldensystem, modernen Steuersystem und Produktionsfystem. Diese Methoden beruhen zum Theile, auf brutaler Gewalt, zum Beispiel das Kolonialsystem.... Das Protektionssystem. war ein Kunstmitte",284
77,page_253,mega,2015,2480,"Arbeitsmethode oder beiden zugleich. Es muß daher eine Revolution in den Produktionsbedingungen seiner Arbeit, d. h. in seiner Produktionsweise und daher im Arbeitsprozeß selbst eintreten. Unter Erhöhung der Produktivkraft der Arbeit verstehn wir hier überhaupt eine Veränderung im Arbeitsprozeß, wodurch die zur Pro‐ duktion einer Waare gesellschaftlich erheischte Arbeitszeit verkürzt wird, ein kleineres Quantum Arbeit also die Kraft erwirbt ein größeres Quantum",1901-02a,dnz,2703142,2703516,"eise, deren auszeichnendes Merkmal die Tendenz zur¬ Steigerung der gesellschaftlichen Produktivkraft der Arbeit ist. In der Sphäre der Heimarbeit erscheint nämlich das Konkurrenzgesetz einfach verkehrt. Während in der Regel Produkte, zu deren Herstellung ein kleineres Quantum Arbeit noth¬ wendig ist, am Waarenmarkt Produkte verdrängen, deren Erzeugung ein größeres Quantum",177
